,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
57,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 3,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,time in 2 m (min),19,mean,NA,NA,NA,,NA,10,7.168,NA,NA,4.40691358,9,6.047,NA,NA,4.021728395,0.054903654,0.242169798,0.054958921,0.25,4
58,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 2,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,latency (min),19,mean,NA,NA,NA,,NA,10,0.782,NA,NA,0.650864198,9,0.977,NA,NA,1.08345679,-0.06172176,0.242073205,-0.061800318,0.25,4
59,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al. 2015 - 1,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,closest approach (m),19,mean,NA,NA,NA,,NA,10,0.247,NA,NA,0.212839506,9,0.354,NA,NA,0.630617284,-0.091610015,0.241515753,-0.091867589,0.25,4
60,"Beck, ML; Davies, S; Sewall, KB",2018,Beck et al. 2015,,Melospiza melodia,vertebrate,light brown,,dark brown,body,melanocortin,eumelanin,mature,males,field,breeding,No,score,67,F,4.877,1,65,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069794067,0.123732266,0.069907726,0.125,8
61,"Korsten, P; Dijkstra, TH; Komdeur, J",2007,Korsten et al. 2007,,Cyanistes caeruleus,vertebrate,reduced blue,,blue,head,unknown,N/A,both,males,field,year round,Plastic,,8,t,3.66,7,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01571714,0.057590508,2.646652412,0.447213595,2.236067977
62,"Dale, S; Slagsvold, T",1996,Dale and Slagsvold 1996,,Ficedula hypoleuca,vertebrate,dull,,bright,body,melanocortin,eumelanin,mature,both,field,breeding,Plastic,response time,10,F,5.02,2,73,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120905588,0.350959727,0.121499949,0.377964473,2.645751311
63,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 2,,Ficedula hypoleuca,vertebrate,brown,,black,body,melanocortin,eumelanin,mature,males,field,year round,Plastic,rank,36,r,NA,NA,NA,,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0.167674404,-0.213171347,0.174077656,5.744562647
64,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 1,,Ficedula hypoleuca,vertebrate,brown,,black,body,melanocortin,eumelanin,juvenile,males,field,year round,Plastic,rank,31,r,NA,NA,NA,,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.183594381,0.151140436,0.188982237,5.291502622
65,"Morimoto, G; Yamaguchi, N; Ueda, K",2006,Morimoto et al. 2006,,Luscinia cyanura,vertebrate,olive-brown,,blue,body,unknown,N/A,both,males,field,year round,Plastic,"fighting, chasing, threatening",74,F,9.411,2,14,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573456828,0.096547863,0.652658346,0.118678166,8.426149773
66,"Bright, A; Waas, JR",2002,Bright and Wass 2002,,Turdus merula,vertebrate,orange,yellow,brown,beak,melanocortin,pheomelanin,mature,both,field,breeding,No,approach,88,F,4.6,1,87,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050218341,0.107696717,0.05026062,0.108465229,9.219544457
