Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,strange dogs,428,t,2.582,427,,0.01,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 3,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,approaching owner away from home,426,t,2.774,425,,0.01,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 4,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,toward children,142,t,3.365,141,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,attention on others in house,425,t,3.336,424,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 7,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,toward owner or family,428,t,4.988,427,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 8,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,when disciplined,427,t,4.524,426,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 9,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,when reached for or handled,428,t,3.161,427,,0.01,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 10,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,when in restricted spaces,423,t,2.4,422,,0.05,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 11,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,meal times,426,t,3.492,425,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 12,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,no reason,428,t,3.643,427,,0.001,,,,,,,,,,,
"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,Erythrura gouldiae,vertebrate,black,,red,face,melanocortin,,juvenile,females,lab,year round,,time,76,F,14.32,1,75,0.001,,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 1,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,,mature,males,field,year round,,number of interactions,33,r,,,,NS,-0.23,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 2,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar hue,carotenoid,,mature,males,field,year round,,number of interactions,33,r,,,,0.001,-0.47,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 3,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,,mature,males,field,year round,,number of interactions,33,r,,,,NS,-0.14,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 4,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar area,carotenoid,,mature,males,field,year round,,number of interactions,43,r,,,,0.001,-0.65,,,,,,,,,,
"Reiter, MK; Anthony, CD; Hickerson, CAM",2014,Reiter et al 2014,Plethodon cinereus,vertebrate,unstriped black,,striped red,dorsal,melanocortin,,mature,males,captivity,year round,,seconds,60,t,2.51,29,,0.012,,,,,,,,,,,
"Renn, SCP; Fraser, EJ; Aubin-Horth, N; Trainor, BC; Hofmann, HA",2012,Renn et al 2012,Astatotilapia burtoni,vertebrate,no black,,black,face,melanocortin,,mature,females,lab,year round,,number of chases,36,mean,,,,,,21,0.84,,0.16,0.733212111,15,11.46,,0.86,3.330765678
"Robertson, JM; Rosenblum, EB",2010,Robertson and Rosenblum 2010,Sceloporus undulatus,vertebrate,light,,dark,body,carotenoid,,mature,males,field,year round,,seconds,40,mean,,,,,,20,27.528,,3.964,17.72754693,20,17.913,,3.776,16.88678537
"Rodriguez-Barreto, D; Rey, O; Uren-Webster, TM; Castaldo, G; Consuegra, S; de Leaniz, CG",2019,Rodriguez-Barreto et al 2019,Oreochromis niloticus,vertebrate,lighter,,darker,body,carotenoid,,mature,both,lab,year round,,number of interactions,120,mean,,,,,,60,28.63,,5.93,45.93358249,60,7.11,,2.09,16.18907039
"Rose, P; Soole, L",2020,Rose and Soole 2020,Phoeniconaias minor,vertebrate,white,,pink,body,carotenoid,,mature,both,captivity,year round,,seconds,45,F,6.45,4,40,0.00004,0.33,,,,,,,,,,
"Rudh, A; Breed, MF; Qvarnstrom, A",2013,Rudh et al 2013,Dendrobates pumilio,vertebrate,green,,red,body,carotenoid,,mature,males,field,year round,,score,70,mean,,,,,,35,0.438,,0.225,1.331117951,35,0.745,,0.052,0.307636149
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 1,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of charges,85,mean,,,,,,70,6.703,,,1.058,15,9.937,,,3.293
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 2,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of lateral displays,85,mean,,,,,,70,3.468,,,0.803,15,1.783,,,0.431
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 3,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of tail beats,85,mean,,,,,,70,4.645,,,0.941,15,9.761,,,3.47
